name,category,rating,address,subtypes,type,price_estimate,description,combined_text
Prambanan Temple,attractions,4.7,"Jl. Raya Solo - Yogyakarta, Kranggan, Bokoharjo, Kec. Prambanan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55571","Tourist attraction, Historical landmark, Hindu temple",wisata,40000,,prambanan temple attractions tourist attraction historical landmark hindu temple raya solo kranggan bokoharjo prambanan sleman
Titik Nol Kilometer Yogyakarta,attractions,4.8,"Jl. Pangurakan No.1, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122","Tourist attraction, Recreation center",wisata,40000,,titik nol kilometer attractions tourist attraction recreation center pangurakan ngupasan gondomanan
"Oud Kotagêdé , Tjepoeri - Ruïnes van het Koninklijke Fort Mataram",attractions,4.5,"599X+FHC, Jl. Masjid Besar, Purbayan, Kec. Kotagede, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55192","Tourist attraction, Historical landmark",wisata,40000,,oud kotag tjepoeri ru nes van het koninklijke fort mataram attractions tourist attraction historical landmark fhc masjid besar purbayan kotagede
Taman Budaya ꧋ꦠꦩꦤ꧀ꦧꦸꦣꦪ,attractions,4.7,"59X9+X2R, Ngupasan, Gondomanan, Yogyakarta City, Special Region of Yogyakarta 55122",Park,wisata,50000,,taman budaya attractions park ngupasan gondomanan city special region
Gereja Sayidan,attractions,4.3,"59W9+HWP, Prawirodirjan, Gondomanan, Yogyakarta City, Special Region of Yogyakarta 55131","Tourist attraction, Historical landmark",wisata,40000,,gereja sayidan attractions tourist attraction historical landmark hwp prawirodirjan gondomanan city special region
Ramayana Ballet Purawisata,attractions,4.6,"Jl. Brigjen Katamso Jl. Ireda, Keparakan, Kec. Mergangsan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55152","Tourist attraction, Cultural center, Family restaurant, Indonesian restaurant, Recreation center, Amphitheater, Western restaurant",wisata,50000,,ramayana ballet purawisata attractions tourist attraction cultural center family restaurant indonesian restaurant recreation center amphitheater western restaurant brigjen katamso ireda keparakan mergangsan
Tourism Village Pandeyan,attractions,4.7,"59PP+6F3, Jl. Pandeyan, Pandeyan, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55161",Tourist attraction,wisata,40000,,tourism village pandeyan attractions tourist attraction pandeyan pandeyan umbulharjo
Plengkung Gading,attractions,4.6,"Jl. Patehan Kidul No.4, Patehan, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55133","Tourist attraction, Historical place",wisata,40000,,plengkung gading attractions tourist attraction historical place patehan kidul patehan kecamatan kraton
Pok Tunggal Beach,unknown,4.5,Special Region of Yogyakarta,Beach,wisata,50000,,pok tunggal beach unknown beach special region
Wediombo Beach,unknown,4.5,Special Region of Yogyakarta,Beach,wisata,50000,,wediombo beach unknown beach special region
Pantai Jogan,unknown,4.3,"Jl. Pantai Siung, Pantai, Purwodadi, Kec. Tepus, Kabupaten Gunungkidul, Daerah Istimewa Yogyakarta 55881",Beach,wisata,50000,,pantai jogan unknown beach pantai siung pantai purwodadi tepus gunungkidul
Pantai Nglambor,unknown,4.5,"Pantai, Purwodadi, Tepus, Gunungkidul Regency, Special Region of Yogyakarta",Beach,wisata,50000,,pantai nglambor unknown beach pantai purwodadi tepus gunungkidul regency special region
Glagah Beach,unknown,4.5,Special Region of Yogyakarta,Beach,wisata,50000,,glagah beach unknown beach special region
Goa Cemara Beach,attractions,4.4,"Jl. Rajiman, Patihan, Gadingsari, Kec. Sanden, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55763","Tourist attraction, Park",wisata,40000,,goa cemara beach attractions tourist attraction park rajiman patihan gadingsari sanden bantul
Kuwaru Beach,attractions,4.1,"Kawaru, Poncosari, Srandakan, Bantul Regency, Special Region of Yogyakarta 55762","Tourist attraction, Public beach",wisata,40000,,kuwaru beach attractions tourist attraction public beach kawaru poncosari srandakan bantul regency special region
Ngrenean Beach,unknown,4.5,Special Region of Yogyakarta,Beach,wisata,50000,,ngrenean beach unknown beach special region
Pantai Slili,unknown,4.5,"Jl. Pantai Krakal, Tepus, Kabupaten Gunungkidul, Daerah Istimewa Yogyakarta 55881",Beach,wisata,50000,,pantai slili unknown beach pantai krakal tepus gunungkidul
Trisik Beach,unknown,4.1,Special Region of Yogyakarta,Beach,wisata,50000,,trisik beach unknown beach special region
Pantai Cemara Sewu Bantul Yogyakarta,unknown,4.4,"Jl. Pantai Parangkusumo, Pantai, Parangtritis, Kec. Kretek, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55772",Beach,wisata,50000,,pantai cemara sewu bantul unknown beach pantai parangkusumo pantai parangtritis kretek bantul
Pantai Ngetun,unknown,4.6,"Sureng, Purwodadi, Tepus, Pantai, Purwodadi, Kec. Tepus, Kabupaten Gunungkidul, Daerah Istimewa Yogyakarta 55881",Beach,wisata,50000,,pantai ngetun unknown beach sureng purwodadi tepus pantai purwodadi tepus gunungkidul
Pantai Drini,attractions,4.6,"VH6G+RXH, Jl. Drini Tim., Wonosobo, Banjarejo, Kec. Tanjungsari, Kabupaten Gunungkidul, Daerah Istimewa Yogyakarta 55881",Tourist attraction,wisata,40000,,pantai drini attractions tourist attraction rxh drini tim wonosobo banjarejo tanjungsari gunungkidul
Pantai Nguyahan,attractions,4.6,"Pantai ngobaran, Gebang, Kanigoro, Kec. Saptosari, Kabupaten Gunungkidul, Daerah Istimewa Yogyakarta 55871",Tourist attraction,wisata,40000,,pantai nguyahan attractions tourist attraction pantai ngobaran gebang kanigoro saptosari gunungkidul
Pantai baru,attractions,4.6,"Jl. Pantai Baru, Ngentak, Poncosari, Kec. Srandakan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55762",Tourist attraction,wisata,40000,,pantai baru attractions tourist attraction pantai baru ngentak poncosari srandakan bantul
Kalasan Temple,attractions,4.6,"6FMC+3WW, Jl. Raya Yogya - Solo, Suryatmajan, Danurejan, Daerah Istimewa Yogyakarta","Buddhist temple, Historical place, Tourist attraction",wisata,40000,,kalasan temple attractions buddhist temple historical place tourist attraction raya yogya solo suryatmajan danurejan
Sambisari Temple,attractions,4.6,"Jl. Candi Sambisari, Sambisari, Purwomartani, Kec. Kalasan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55571","Hindu temple, Historical landmark, Tourist attraction",wisata,40000,,sambisari temple attractions hindu temple historical landmark tourist attraction candi sambisari sambisari purwomartani kalasan sleman
Ijo Temple,attractions,4.8,"Jl. Candi Ijo, Kikis, Sambirejo, Kec. Prambanan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55572","Hindu temple, Tourist attraction",wisata,40000,,ijo temple attractions hindu temple tourist attraction candi ijo kikis sambirejo prambanan sleman
Candi Donotirto,attractions,4.5,"6936+QFG, Jl. Jogonegaran, Pringgokusuman, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55272",Tourist attraction,wisata,40000,,candi donotirto attractions tourist attraction qfg jogonegaran pringgokusuman gedong tengen
Sari Temple,attractions,4.5,"Jl. Candisari Jl. Raya Solo - Yogyakarta No.107, Bendan, Tirtomartani, Kec. Kalasan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55571","Buddhist temple, Tourist attraction",wisata,40000,,sari temple attractions buddhist temple tourist attraction candisari raya solo bendan tirtomartani kalasan sleman
Perwara Temple,attractions,4.5,"Taman Wisata Candi Prambanan, Jl. Raya Solo - Yogyakarta No.KM.16, Kranggan, Bokoharjo, Kec. Prambanan, Yogyakarta, Jawa Tengah 57454","Hindu temple, Historical landmark, Tourist attraction",wisata,40000,,perwara temple attractions hindu temple historical landmark tourist attraction taman wisata candi prambanan raya solo km kranggan bokoharjo prambanan jawa tengah
Gebang Temple,pura,4.5,"6CX8+CG7, Jl. Gebang Jl. Jetis Raya, Jetis, Wedomartani, Kec. Ngemplak, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55584",Hindu temple,wisata,50000,,gebang temple pura hindu temple gebang jetis raya jetis wedomartani ngemplak sleman
Sewu Temple,attractions,4.7,"Jl. Candi Sewu No.16, Bugisan, Kec. Prambanan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 57454","Buddhist temple, Tourist attraction",wisata,40000,,sewu temple attractions buddhist temple tourist attraction candi sewu bugisan prambanan sleman
Barong Temple,pura,4.6,"6FFW+PWM, Dusun Candisari, Dowang Sari, Sambirejo, Kec. Prambanan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55572",Hindu temple,wisata,50000,,barong temple pura hindu temple pwm dusun candisari dowang sari sambirejo prambanan sleman
Kedulan Temple,attractions,4.6,"7F49+XVG, Kedulan, Tirtomartani, Kec. Kalasan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55571","Hindu temple, Tourist attraction",wisata,40000,,kedulan temple attractions hindu temple tourist attraction xvg kedulan tirtomartani kalasan sleman
Bubrah Temple,attractions,4.4,"7F3V+C5F, Taman Martani , Kalasan , Sleman , Daerah Istimewa Yogyakarta, Klurakbaru, Tlogo, Kec. Prambanan, Kabupaten Klaten, Jawa Tengah 57454","Buddhist temple, Tourist attraction",wisata,40000,,bubrah temple attractions buddhist temple tourist attraction taman martani kalasan sleman klurakbaru tlogo prambanan klaten jawa tengah
"PT. Taman Wisata Candi Borobudur, Prambanan & Ratu Boko",attractions,4.8,"Jl. Raya Solo - Yogyakarta No.Km.16, Bogem, Tamanmartani, Kec. Kalasan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55571",Tourist attraction,wisata,40000,,pt taman wisata candi borobudur prambanan ratu boko attractions tourist attraction raya solo km bogem tamanmartani kalasan sleman
Banyunibo Temple,attractions,4.6,"Jl. Prambanan - Gayamharjo, Cepit, Bokoharjo, Kec. Prambanan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55572","Buddhist temple, Historical landmark, Place of worship, Tourist attraction",wisata,40000,,banyunibo temple attractions buddhist temple historical landmark place worship tourist attraction prambanan gayamharjo cepit bokoharjo prambanan sleman
Shiva Temple,pura,4.5,"Taman Wisata Candi Prambanan, Jl. Candi Sewu, Kranggan, Bokoharjo, Kec. Prambanan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55572",Hindu temple,wisata,50000,,shiva temple pura hindu temple taman wisata candi prambanan candi sewu kranggan bokoharjo prambanan sleman
Pura Candi Sari Kalongan ꦦꦸꦫꦕꦤ꧀ꦝꦶꦱꦫꦶ,pura,4.8,"6C7G+V56, Kalongan, Maguwoharjo, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",Hindu temple,wisata,50000,,pura candi sari kalongan pura hindu temple kalongan maguwoharjo depok sleman
Dawangsari Temple,attractions,4.5,"6FGX+926 Dawang Sari, Dowang Sari, Sambirejo, Kec. Prambanan, Kabupaten Sleman, Jawa Tengah 55572","Buddhist temple, Tourist attraction",wisata,40000,,dawangsari temple attractions buddhist temple tourist attraction dawang sari dowang sari sambirejo prambanan sleman jawa tengah
Miri Temple,attractions,4.6,"6GH5+63R, Dawangsari, Dowang Sari, Sambirejo, Kec. Prambanan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55572",Tourist attraction,wisata,40000,,miri temple attractions tourist attraction dawangsari dowang sari sambirejo prambanan sleman
Plaosan Lor Temple,attractions,4.6,"Jl. Candi Plaosan, Dukuh Plaosan, Bugisan, Kec. Prambanan, Kabupaten Klaten, Jawa Tengah 57454","Buddhist temple, Historical landmark, Tourist attraction",wisata,40000,,plaosan lor temple attractions buddhist temple historical landmark tourist attraction candi plaosan dukuh plaosan bugisan prambanan klaten jawa tengah
ꦱꦁꦒꦂꦕꦤ꧀ꦝꦶꦱꦥ꧀ꦠꦉꦁꦒꦪꦺꦴꦒꦾꦏꦂꦠ (Sanggar Candi Sapta Rengga Yogyakarta),place of worship,4.7,"59VG+QFR, Wirogunan, Mergangsan, Yogyakarta City, Special Region of Yogyakarta 55151",Place of worship,wisata,50000,,sanggar candi sapta rengga place worship place worship qfr wirogunan mergangsan city special region
Candi Kelir ꦕꦟ꧀ꦝꦶꦏ꧀ꦭꦶꦂ,pura,4.6,"6FXR+59J, Kranggan, Bokoharjo, Kec. Prambanan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55572",Hindu temple,wisata,50000,,candi kelir pura hindu temple kranggan bokoharjo prambanan sleman
Candi Risan,attractions,4.4,"5QC4+R22, Candi, Candi Rejo, Kec. Semin, Kabupaten Gunungkidul, Daerah Istimewa Yogyakarta 55854","Buddhist temple, Tourist attraction",wisata,40000,,candi risan attractions buddhist temple tourist attraction candi candi rejo semin gunungkidul
Borobudur Temple,attractions,4.7,"Jl. Badrawati, Kw. Candi Borobudur, Borobudur, Kec. Borobudur, Kabupaten Magelang, Jawa Tengah","Buddhist temple, Historical landmark, Place of worship, Tourist attraction",wisata,40000,,borobudur temple attractions buddhist temple historical landmark place worship tourist attraction badrawati kw candi borobudur borobudur borobudur magelang jawa tengah
Miniatur Candi Borobudur,attractions,0.0,"69M4+43M, Kragilan, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284",Tourist attraction,wisata,40000,,miniatur candi borobudur attractions tourist attraction kragilan sinduadi mlati sleman
Sojiwan Temple,vihara,4.6,"Jl. Sojiwan No.12 RT. 03, Kwaron, Kb. Dalem Kidul, Kec. Prambanan, Kabupaten Klaten, Jawa Tengah 57454","Buddhist temple, Historical landmark",wisata,50000,,sojiwan temple vihara buddhist temple historical landmark sojiwan rt kwaron kb dalem kidul prambanan klaten jawa tengah
Miniatur Candi Prambanan,attractions,4.0,"69M4+72X, Kragilan, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284",Tourist attraction,wisata,40000,,miniatur candi prambanan attractions tourist attraction kragilan sinduadi mlati sleman
Situs Mantup,hindu temple,4.4,"Jln. Wonosari km.7 Sampangan RT.03, Mantup, Baturetno, Kec. Banguntapan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55197",Hindu temple,wisata,50000,,situs mantup hindu temple hindu temple jln wonosari km sampangan rt mantup baturetno banguntapan bantul
Tourism Zone Malioboro,attractions,4.7,"Jl. Margo Mulyo Jl. Jend. Ahmad Yani No.106, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122",Tourist attraction,wisata,40000,,tourism zone malioboro attractions tourist attraction margo mulyo jend ahmad yani ngupasan gondomanan
Bringin Kembar Yogyakarta,attractions,4.6,"59Q7+67G, Patehan, Kraton, Yogyakarta City, Special Region of Yogyakarta 55133","Tourist attraction, Historical place",wisata,40000,,bringin kembar attractions tourist attraction historical place patehan kraton city special region
Tebing Breksi,attractions,4.5,"Jl. Desa Lengkong, RT.02/RW.17, Gn. Sari, Sambirejo, Kec. Prambanan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55572","Tourist attraction, Ecological park",wisata,40000,,tebing breksi attractions tourist attraction ecological park desa lengkong rt rw gn sari sambirejo prambanan sleman
Embung Langensari,attractions,4.3,"Jl. Klitren Lor GK 3 No.35, Klitren, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55222","Tourist attraction, City park",wisata,40000,,embung langensari attractions tourist attraction city park klitren lor gk klitren gondokusuman
DINO Adventure,attractions,4.2,"Gedung Kotak, Jl. Panembahan Senopati No.1-3, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122",Tourist attraction,wisata,40000,,dino adventure attractions tourist attraction gedung kotak panembahan senopati ngupasan gondomanan
Kampung Wisata Sosromenduran,attractions,4.2,"001, Jl. Sosrowijayan No.69, Sosromenduran, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55271","Tourist attraction, Amusement park",wisata,40000,,kampung wisata sosromenduran attractions tourist attraction amusement park sosrowijayan sosromenduran gedong tengen
SKE CITY PARK,attractions,4.2,"Jl. Jambon, Kragilan, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284","Tourist attraction, Amusement park",wisata,40000,,ske city park attractions tourist attraction amusement park jambon kragilan sinduadi mlati sleman
Yogyakarta Royal Palace,attractions,4.7,"59V7+6H7, Panembahan, Kraton, Yogyakarta City, Special Region of Yogyakarta 55131","Tourist attraction, Museum",wisata,40000,,royal palace attractions tourist attraction museum panembahan kraton city special region
Taman Pelangi Jogja,attractions,4.2,"Jl. Ring Road Utara, Jongkang, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284","Tourist attraction, Park, Amusement park",wisata,40000,,taman pelangi jogja attractions tourist attraction park amusement park ring road utara jongkang sariharjo ngaglik sleman
Pulo Kenanga,attractions,4.6,"59R5+FWW, Jl. Polowijan No.5, Patehan, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55133","Tourist attraction, Historical landmark",wisata,40000,,pulo kenanga attractions tourist attraction historical landmark fww polowijan patehan kecamatan kraton
Slasar Malioboro,attractions,4.6,"Jl. Ps. Kembang No.4, Sosromenduran, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55271",Tourist attraction,wisata,40000,,slasar malioboro attractions tourist attraction ps kembang sosromenduran gedong tengen
Kampung Wisata Gunungketur (ꦏꦩ꧀ꦥꦸꦁꦮꦶꦱꦠꦒꦸꦤꦸꦁꦏꦺꦠꦸꦂ),attractions,4.9,"Jl. Purwanggan No.74, Gunungketur, Pakualaman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55111",Tourist attraction,wisata,40000,,kampung wisata gunungketur attractions tourist attraction purwanggan gunungketur pakualaman
Kampung Wisata Warungboto,attractions,5.0,"Balai, Jl. Umbul Raya, RT.38/RW.09, Warungboto, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55164",Tourist attraction,wisata,40000,,kampung wisata warungboto attractions tourist attraction balai umbul raya rt rw warungboto umbulharjo
Jogja Walking Tour | Jogja Good Guide,attractions,4.9,"Jl. Malioboro, Sosromenduran, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55271",Tourist attraction,wisata,40000,,jogja walking tour jogja good guide attractions tourist attraction malioboro sosromenduran gedong tengen
Malioboro Yogyakarta Indonesia,attractions,4.8,"6948+W8X, Jl. Malioboro, Sosromenduran, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55271",Tourist attraction,wisata,40000,,malioboro attractions tourist attraction malioboro sosromenduran gedong tengen
Bukit Panguk Kediwung,attractions,4.5,"Kediwung, Mangunan, Dlingo, Bantul Regency, Special Region of Yogyakarta 55783",Tourist attraction,wisata,40000,,bukit panguk kediwung attractions tourist attraction kediwung mangunan dlingo bantul regency special region
Bird Park of Gembira Loka Zoo,attractions,4.7,"Jl. Veteran No.51, Warungboto, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55165","Tourist attraction, Zoo",wisata,40000,,bird park gembira loka zoo attractions tourist attraction zoo veteran warungboto umbulharjo
Batik Monument Yogyakarta,attractions,4.5,"59X7+HR5, Jl. KH. Ahmad Dahlan, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122","Tourist attraction, Monument",wisata,40000,,batik monument attractions tourist attraction monument kh ahmad dahlan ngupasan gondomanan
Yogyakarta berwisata,lahan piknik,5.0,"Jl. Nilassari Celeban UH 3/500 RT27 RW 06, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55167","Picnic ground, Transportation service",wisata,50000,,berwisata lahan piknik picnic ground transportation service nilassari celeban uh rw
Hutan Pinus Pengger,attractions,4.5,"Jl. Dlingo-Patuk, Sendangsari, Terong, Kec. Dlingo, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55783","Tourist attraction, National forest",wisata,40000,,hutan pinus pengger attractions tourist attraction national forest dlingo patuk sendangsari terong dlingo bantul
Kidul Plaza Yogyakarta,attractions,4.7,"Alun-Alun Kidul St, Patehan, Kraton, Yogyakarta City, Special Region of Yogyakarta 55133","City park, Park",wisata,50000,,kidul plaza attractions city park park alun alun kidul st patehan kraton city special region
Tarunasura Gate,attractions,4.6,"59W8+GM2, Jl. Ibu Ruswo, Prawirodirjan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55131",Tourist attraction,wisata,40000,,tarunasura gate attractions tourist attraction ibu ruswo prawirodirjan gondomanan
Spot Foto Jalan Malioboro,attractions,4.7,"6958+XCH, Sosromenduran, Gedong Tengen, Yogyakarta City, Special Region of Yogyakarta 55271",Tourist attraction,wisata,40000,,spot foto malioboro attractions tourist attraction xch sosromenduran gedong tengen city special region
Desa Wisata Sungai Code Jogja Kota,attractions,4.8,"59GG+R7P, Jl. Lowanu, RW.16, Mulyorejo, Sorosutan, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55153",Tourist attraction,wisata,40000,,desa wisata sungai code jogja attractions tourist attraction lowanu rw mulyorejo sorosutan umbulharjo
Selfie Park Jogja,cafes,4.4,"Jl. Veteran No.150-151, Pandeyan, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55161","Tourist attraction, Park, Cafe",wisata,45000,,selfie park jogja cafes tourist attraction park cafe veteran pandeyan umbulharjo
Jembatan Sayidan,attractions,4.6,"59XC+9GJ, Jl. Sultan Agung, Prawirodirjan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55121","Bridge, Tourist attraction",wisata,40000,,jembatan sayidan attractions bridge tourist attraction sultan agung prawirodirjan gondomanan
Jomblang Cave,attractions,4.6,"Jetis, Pacarejo, Semanu, Gunungkidul Regency, Special Region of Yogyakarta 55893",Tourist attraction,wisata,40000,,jomblang cave attractions tourist attraction jetis pacarejo semanu gunungkidul regency special region
Taman Air Menari,attractions,4.3,"Taman Pintar Yogyakarta, Jl. Panembahan Senopati No.1-3, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122","Park, Playground",wisata,50000,,taman air menari attractions park playground taman pintar panembahan senopati ngupasan gondomanan
Vredeburg Park,attractions,4.7,"Jl. Margo Mulyo No.6, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122",Park,wisata,50000,,vredeburg park attractions park margo mulyo ngupasan gondomanan
Mangunan Pines Forests,attractions,4.6,"Jl. Hutan Pinus Nganjir, Mangunan, Kec. Dlingo, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55783","Tourist attraction, Park, Recreation center",wisata,40000,,mangunan pines forests attractions tourist attraction park recreation center hutan pinus nganjir mangunan dlingo bantul
Wisata Kalibiru,attractions,4.4,"Jl. Kalibiru, Kalibiru, Hargowilis, Kec. Kokap, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55653",Tourist attraction,wisata,40000,,wisata kalibiru attractions tourist attraction kalibiru kalibiru hargowilis kokap kulon progo
Stonehenge Yogyakarta,attractions,4.4,"9CXW+2XM, Unnamed Road, Trutan, Kepuharjo, Cangkringan, Sleman Regency, Special Region of Yogyakarta 55583",Tourist attraction,wisata,40000,,stonehenge attractions tourist attraction unnamed road trutan kepuharjo cangkringan sleman regency special region
Obelix Hills,attractions,4.6,"Klumprit, Jl. Rakai Panangkaran Blok I & 2, Klumprit II, Wukirharjo, Kec. Prambanan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55572","Tourist attraction, Amusement park",wisata,40000,,obelix hills attractions tourist attraction amusement park klumprit rakai panangkaran blok klumprit ii wukirharjo prambanan sleman
Merapi Park Yogyakarta,attractions,4.3,"Jl. Museum Gn. Merapi No.KM. 22.5, Banteng, Hargobinangun, Kec. Pakem, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55582","Tourist attraction, Picnic ground, Park",wisata,40000,,merapi park attractions tourist attraction picnic ground park museum gn merapi km banteng hargobinangun pakem sleman
